"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Antonio Valencia","Right-Back",23,"Wigan","Premier League","Man Utd","Premier League","2009-2010",11000000,18900000
"Kolo Touré","Centre-Back",28,"Arsenal","Premier League","Man City","Premier League","2009-2010",21000000,18700000
"Gareth Barry","Defensive Midfield",28,"Aston Villa","Premier League","Man City","Premier League","2009-2010",18500000,13900000
"Michael Turner","Centre-Back",25,"Hull City","Premier League","Sunderland","Premier League","2009-2010",4000000,13600000
"Stewart Downing","Left Midfield",25,"Middlesbrough","Championship","Aston Villa","Premier League","2009-2010",11000000,13000000
"Thomas Vermaelen","Centre-Back",23,"AFC Ajax","Eredivisie","Arsenal","Premier League","2009-2010",6000000,12000000
"Darren Bent","Centre-Forward",25,"Spurs","Premier League","Sunderland","Premier League","2009-2010",12000000,11800000
"Peter Crouch","Centre-Forward",28,"Portsmouth","Premier League","Spurs","Premier League","2009-2010",10000000,10500000
"Diniyar Bilyaletdinov","Attacking Midfield",24,"Loko Moscow","Premier Liga","Everton","Premier League","2009-2010",6700000,10000000
"Fabian Delph","Central Midfield",19,"Leeds","League One","Aston Villa","Premier League","2009-2010",100000,9500000
"Sébastien Bassong","Centre-Back",23,"Newcastle","Championship","Spurs","Premier League","2009-2010",5200000,9300000
"Didier Zokora","Defensive Midfield",28,"Spurs","Premier League","Sevilla FC","LaLiga","2009-2010",8500000,9000000
"Stephen Warnock","Left-Back",27,"Blackburn","Premier League","Aston Villa","Premier League","2009-2010",5100000,9000000
"Adam Johnson","Right Winger",22,"Middlesbrough","Championship","Man City","Premier League","2009-2010",4500000,8000000
"Kevin Doyle","Centre-Forward",25,"Reading","Championship","Wolves","Premier League","2009-2010",4000000,7600000
"Daniel Sturridge","Centre-Forward",19,"Man City","Premier League","Chelsea","Premier League","2009-2010",3000000,7250000
"Elano","Attacking Midfield",28,"Man City","Premier League","Galatasaray","Süper Lig","2009-2010",12500000,7000000
"Nikola Kalinic","Centre-Forward",21,"Hajduk Split","1.HNL","Blackburn","Premier League","2009-2010",6000000,7000000
"Robert Huth","Centre-Back",24,"Middlesbrough","Championship","Stoke City","Premier League","2009-2010",4000000,7000000
"Lee Cattermole","Defensive Midfield",21,"Wigan","Premier League","Sunderland","Premier League","2009-2010",3700000,7000000
"Richard Dunne","Centre-Back",29,"Man City","Premier League","Aston Villa","Premier League","2009-2010",9500000,6800000
"Johnny Heitinga","Centre-Back",25,"Atlético Madrid","LaLiga","Everton","Premier League","2009-2010",8000000,6800000
"Alessandro Diamanti","Second Striker",26,"AS Livorno","Serie A","West Ham","Premier League","2009-2010",3500000,6800000
"Sylvain Distin","Centre-Back",31,"Portsmouth","Premier League","Everton","Premier League","2009-2010",8300000,6500000
"Savio Nsereko","Right Winger",20,"West Ham","Premier League","Fiorentina","Serie A","2009-2010",4000000,6200000
"Younès Kaboul","Centre-Back",24,"Portsmouth","Premier League","Spurs","Premier League","2009-2010",5700000,5900000
"Roger Johnson","Centre-Back",26,"Cardiff","Championship","Birmingham","Premier League","2009-2010",2000000,5900000
"Kyle Naughton","Right-Back",20,"Sheffield Utd.","Championship","Spurs","Premier League","2009-2010",400000,5900000
"Kyle Walker","Right-Back",19,"Sheffield Utd.","Championship","Spurs","Premier League","2009-2010",50000,5900000
"Lorik Cana","Centre-Back",25,"Marseille","Ligue 1","Sunderland","Premier League","2009-2010",14000000,5800000
"Tuncay Sanli","Left Winger",27,"Middlesbrough","Championship","Stoke City","Premier League","2009-2010",9800000,5700000
"James Collins","Centre-Back",26,"West Ham","Premier League","Aston Villa","Premier League","2009-2010",2000000,5700000
"James McCarthy","Central Midfield",18,"Hamilton Acad.","Premiership","Wigan","Premier League","2009-2010",1250000,5100000
"Zat Knight","Centre-Back",29,"Aston Villa","Premier League","Bolton","Premier League","2009-2010",5000000,4700000
"Michael Chopra","Centre-Forward",25,"Sunderland","Premier League","Cardiff","Championship","2009-2010",4500000,4700000
"Steven Fletcher","Centre-Forward",22,"Hibernian FC","Premiership","Burnley","Premier League","2009-2010",4000000,4700000
"Kevin-Prince Boateng","Central Midfield",22,"Spurs","Premier League","Portsmouth","Premier League","2009-2010",3000000,4500000
"Mame Diouf","Centre-Forward",21,"Molde FK","Eliteserien","Man Utd","Premier League","2009-2010",2000000,4500000
"Fraizer Campbell","Centre-Forward",21,"Man Utd","Premier League","Sunderland","Premier League","2009-2010",2800000,4100000
"Álvaro Arbeloa","Right-Back",26,"Liverpool","Premier League","Real Madrid","LaLiga","2009-2010",11000000,4000000
"Damien Duff","Right Midfield",30,"Newcastle","Championship","Fulham","Premier League","2009-2010",5700000,4000000
"Stephen Hunt","Left Midfield",28,"Reading","Championship","Hull City","Premier League","2009-2010",4000000,4000000
"Sebastián Leto","Left Winger",22,"Liverpool","Premier League","Panathinaikos","Super League","2009-2010",3000000,4000000
"Gabriel Obertan","Right Winger",20,"G. Bordeaux","Ligue 1","Man Utd","Premier League","2009-2010",3000000,4000000
"Gaël Givet","Centre-Back",27,"Marseille","Ligue 1","Blackburn","Premier League","2009-2010",2700000,4000000
"Scott Dann","Centre-Back",22,"Coventry City","Championship","Birmingham","Premier League","2009-2010",750000,4000000
"Radoslav Kovac","Centre-Back",29,"Spartak Moscow","Premier Liga","West Ham","Premier League","2009-2010",4500000,3800000
"Andrea Dossena","Left Midfield",28,"Liverpool","Premier League","SSC Napoli","Serie A","2009-2010",6000000,3750000
"Asmir Begovic","Goalkeeper",22,"Portsmouth","Premier League","Stoke City","Premier League","2009-2010",1500000,3750000
"Hérita Ilunga","Left-Back",27,"Toulouse","Ligue 1","West Ham","Premier League","2009-2010",5500000,3500000
"Gelson Fernandes","Defensive Midfield",22,"Man City","Premier League","Saint-Étienne","Ligue 1","2009-2010",5500000,3500000
"Dean Whitehead","Central Midfield",27,"Sunderland","Premier League","Stoke City","Premier League","2009-2010",3000000,3500000
"Seyi Olofinjana","Central Midfield",29,"Stoke City","Premier League","Hull City","Premier League","2009-2010",2200000,3500000
"Craig Gardner","Central Midfield",23,"Aston Villa","Premier League","Birmingham","Premier League","2009-2010",2000000,3500000
"Ched Evans","Centre-Forward",20,"Man City","Premier League","Sheffield Utd.","Championship","2009-2010",1200000,3500000
"Míchel","Central Midfield",24,"Sporting Gijón","LaLiga","Birmingham","Premier League","2009-2010",2400000,3300000
"Fernando Torres","Centre-Forward",26,"Liverpool","Premier League","Chelsea","Premier League","2010-2011",50000000,58500000
"Andy Carroll","Centre-Forward",22,"Newcastle","Premier League","Liverpool","Premier League","2010-2011",2500000,41000000
"Edin Dzeko","Centre-Forward",24,"VfL Wolfsburg","1.Bundesliga","Man City","Premier League","2010-2011",30000000,37000000
"Yaya Touré","Central Midfield",27,"FC Barcelona","LaLiga","Man City","Premier League","2010-2011",18000000,30000000
"Mario Balotelli","Centre-Forward",20,"Inter","Serie A","Man City","Premier League","2010-2011",26000000,29500000
"David Silva","Attacking Midfield",24,"Valencia CF","LaLiga","Man City","Premier League","2010-2011",32000000,28750000
"Luis Suárez","Centre-Forward",24,"AFC Ajax","Eredivisie","Liverpool","Premier League","2010-2011",25000000,26500000
"David Luiz","Centre-Back",23,"Benfica","Liga NOS","Chelsea","Premier League","2010-2011",14000000,25000000
"Aleksandar Kolarov","Left-Back",24,"Lazio","Serie A","Man City","Premier League","2010-2011",9000000,23860000
"James Milner","Central Midfield",24,"Aston Villa","Premier League","Man City","Premier League","2010-2011",20000000,22000000
"Ramires","Central Midfield",23,"Benfica","Liga NOS","Chelsea","Premier League","2010-2011",14000000,22000000
"Darren Bent","Centre-Forward",26,"Sunderland","Premier League","Aston Villa","Premier League","2010-2011",18000000,21500000
"Javier Mascherano","Defensive Midfield",26,"Liverpool","Premier League","FC Barcelona","LaLiga","2010-2011",26000000,20000000
"Robinho","Left Winger",26,"Man City","Premier League","AC Milan","Serie A","2010-2011",15000000,18000000
"Asamoah Gyan","Centre-Forward",24,"Stade Rennais","Ligue 1","Sunderland","Premier League","2010-2011",11000000,16000000
"Raúl Meireles","Central Midfield",27,"FC Porto","Liga NOS","Liverpool","Premier League","2010-2011",11000000,13000000
"Jérôme Boateng","Centre-Back",21,"Hamburger SV","1.Bundesliga","Man City","Premier League","2010-2011",15000000,12500000
"Laurent Koscielny","Centre-Back",24,"FC Lorient","Ligue 1","Arsenal","Premier League","2010-2011",5000000,12500000
"Rafael van der Vaart","Attacking Midfield",27,"Real Madrid","LaLiga","Spurs","Premier League","2010-2011",15000000,10500000
"Sandro","Defensive Midfield",21,"Internacional","Série A","Spurs","Premier League","2010-2011",9000000,10000000
"Stephen Ireland","Attacking Midfield",24,"Man City","Premier League","Aston Villa","Premier League","2010-2011",13000000,9700000
"Kenwyne Jones","Centre-Forward",25,"Sunderland","Premier League","Stoke City","Premier League","2010-2011",10000000,9700000
"Zoran Tosic","Right Winger",23,"Man Utd","Premier League","CSKA Moscow","Premier Liga","2010-2011",5500000,9500000
"Bebé","Left Winger",20,"Vit. Guimarães","Liga NOS","Man Utd","Premier League","2010-2011",100000,8800000
"Ricardo Carvalho","Centre-Back",32,"Chelsea","Premier League","Real Madrid","LaLiga","2010-2011",17500000,8000000
"Chris Smalling","Centre-Back",20,"Fulham","Premier League","Man Utd","Premier League","2010-2011",2000000,8000000
"Chicharito","Centre-Forward",22,"Chivas","Liga MX Clausura","Man Utd","Premier League","2010-2011",6000000,7500000
"Eduardo","Centre-Forward",27,"Arsenal","Premier League","Shakhtar D.","Premier Liga","2010-2011",10500000,7200000
"Steven Fletcher","Centre-Forward",23,"Burnley","Championship","Wolves","Premier League","2010-2011",4500000,7200000
"Yossi Benayoun","Right Winger",30,"Liverpool","Premier League","Chelsea","Premier League","2010-2011",10500000,7000000
"Stéphane Sessègnon","Attacking Midfield",26,"Paris SG","Ligue 1","Sunderland","Premier League","2010-2011",8500000,7000000
"Nikola Zigic","Centre-Forward",29,"Valencia CF","LaLiga","Birmingham","Premier League","2010-2011",8000000,7000000
"Ryan Babel","Left Winger",24,"Liverpool","Premier League","TSG Hoffenheim","1.Bundesliga","2010-2011",6500000,7000000
"Ben Foster","Goalkeeper",27,"Man Utd","Premier League","Birmingham","Premier League","2010-2011",3000000,7000000
"Sébastien Squillaci","Centre-Back",30,"Sevilla FC","LaLiga","Arsenal","Premier League","2010-2011",8000000,6500000
"Jean II Makoun","Defensive Midfield",27,"Olympique Lyon","Ligue 1","Aston Villa","Premier League","2010-2011",7500000,6200000
"Albert Riera","Left Winger",28,"Liverpool","Premier League","Olympiacos","Super League","2010-2011",14000000,6000000
"Mousa Dembélé","Central Midfield",23,"AZ Alkmaar","Eredivisie","Fulham","Premier League","2010-2011",7500000,6000000
"Hatem Ben Arfa","Attacking Midfield",23,"Marseille","Ligue 1","Newcastle","Premier League","2010-2011",7000000,6000000
"Tomas Kalas","Centre-Back",17,"Sigma Olomouc","HET Liga","Chelsea","Premier League","2010-2011",NA,6000000
"Miroslav Stoch","Left Winger",20,"Chelsea","Premier League","Fenerbahce","Süper Lig","2010-2011",4500000,5500000
"Christian Poulsen","Defensive Midfield",30,"Juventus","Serie A","Liverpool","Premier League","2010-2011",5500000,5480000
"Anders Lindegaard","Goalkeeper",26,"Aalesund","Eliteserien","Man Utd","Premier League","2010-2011",3200000,5000000
"Pablo Barrera","Right Winger",23,"UNAM Pumas","Liga MX Clausura","West Ham","Premier League","2010-2011",3500000,4800000
"Jean Beausejour","Left-Back",26,"América","Liga MX Clausura","Birmingham","Premier League","2010-2011",2500000,4800000
"Lorik Cana","Centre-Back",26,"Sunderland","Premier League","Galatasaray","Süper Lig","2010-2011",12000000,4500000
"Tuncay Sanli","Left Winger",29,"Stoke City","Premier League","VfL Wolfsburg","1.Bundesliga","2010-2011",6500000,4500000
"Cheik Tioté","Defensive Midfield",24,"FC Twente","Eredivisie","Newcastle","Premier League","2010-2011",3500000,4280000
"Winston Reid","Centre-Back",22,"FC Midtjylland","Superligaen","West Ham","Premier League","2010-2011",1500000,4200000
"Curtis Davies","Centre-Back",25,"Aston Villa","Premier League","Birmingham","Premier League","2010-2011",4500000,4000000
"Paul Konchesky","Left-Back",29,"Fulham","Premier League","Liverpool","Premier League","2010-2011",3500000,4000000
"Ronnie Stam","Right-Back",26,"FC Twente","Eredivisie","Wigan","Premier League","2010-2011",3500000,4000000
"Mauro Formica","Attacking Midfield",22,"Newell's","Torneo Final","Blackburn","Premier League","2010-2011",3500000,4000000
"Wellington Silva","Right Winger",18,"Fluminense","Série A","Arsenal","Premier League","2010-2011",800000,4000000
"Mauro Boselli","Centre-Forward",25,"Estudiantes","Torneo Final","Wigan","Premier League","2010-2011",7500000,3700000
"Steven Pienaar","Left Winger",28,"Everton","Premier League","Spurs","Premier League","2010-2011",9500000,3600000
"Stephen Hunt","Left Midfield",28,"Hull City","Championship","Wolves","Premier League","2010-2011",5000000,3600000
"Marc Wilson","Centre-Back",23,"Portsmouth","Championship","Stoke City","Premier League","2010-2011",2500000,3600000
"Martyn Waghorn","Centre-Forward",20,"Sunderland","Premier League","Leicester","Championship","2010-2011",900000,3600000
"Jelle Van Damme","Left-Back",27,"Wolves","Premier League","Standard Liège","Jupiler Pro League","2010-2011",4500000,3500000
"Jonathan Walters","Right Winger",26,"Ipswich","Championship","Stoke City","Premier League","2010-2011",1750000,3300000
"Jelle Van Damme","Left-Back",26,"RSC Anderlecht","Jupiler Pro League","Wolves","Premier League","2010-2011",4500000,3250000
"Peter Odemwingie","Right Winger",29,"Loko Moscow","Premier Liga","West Brom","Premier League","2010-2011",5800000,3000000
"Sergio Agüero","Centre-Forward",23,"Atlético Madrid","LaLiga","Man City","Premier League","2011-2012",36000000,40000000
"Cesc Fàbregas","Central Midfield",24,"Arsenal","Premier League","FC Barcelona","LaLiga","2011-2012",54000000,34000000
"Samir Nasri","Left Winger",24,"Arsenal","Premier League","Man City","Premier League","2011-2012",26000000,27500000
"Juan Mata","Attacking Midfield",23,"Valencia CF","LaLiga","Chelsea","Premier League","2011-2012",26000000,26700000
"David de Gea","Goalkeeper",20,"Atlético Madrid","LaLiga","Man Utd","Premier League","2011-2012",12000000,25000000
"Stewart Downing","Left Midfield",26,"Aston Villa","Premier League","Liverpool","Premier League","2011-2012",12000000,22800000
"Phil Jones","Centre-Back",19,"Blackburn","Premier League","Man Utd","Premier League","2011-2012",3500000,19300000
"Ashley Young","Left Midfield",25,"Aston Villa","Premier League","Man Utd","Premier League","2011-2012",18000000,18000000
"Jordan Henderson","Central Midfield",21,"Sunderland","Premier League","Liverpool","Premier League","2011-2012",8500000,18000000
"Romelu Lukaku","Centre-Forward",18,"RSC Anderlecht","Jupiler Pro League","Chelsea","Premier League","2011-2012",15000000,15000000
"Yuri Zhirkov","Left Midfield",27,"Chelsea","Premier League","Anzhi","Premier Liga","2011-2012",12000000,15000000
"Christopher Samba","Centre-Back",27,"Blackburn","Premier League","Anzhi"," Russia","2011-2012",12000000,14000000
"Alex Oxlade-Chamberlain","Right Midfield",17,"Southampton","Championship","Arsenal","Premier League","2011-2012",2500000,13800000
"Raúl Meireles","Central Midfield",28,"Liverpool","Premier League","Chelsea","Premier League","2011-2012",16000000,13500000
"Jérôme Boateng","Centre-Back",22,"Man City","Premier League","Bayern Munich ","1.Bundesliga","2011-2012",15000000,13500000
"Gervinho","Left Winger",24,"LOSC Lille","Ligue 1","Arsenal","Premier League","2011-2012",16000000,12000000
"Mikel Arteta","Central Midfield",29,"Everton","Premier League","Arsenal","Premier League","2011-2012",15000000,12000000
"Papiss Demba Cissé","Centre-Forward",26,"SC Freiburg","1.Bundesliga","Newcastle","Premier League","2011-2012",13500000,12000000
"Bryan Ruíz","Left Midfield",26,"FC Twente","Eredivisie","Fulham","Premier League","2011-2012",12500000,12000000
"Stefan Savic","Centre-Back",20,"Partizan","SuperLiga","Man City","Premier League","2011-2012",6000000,12000000
"Per Mertesacker","Centre-Back",26,"Werder Bremen","1.Bundesliga","Arsenal","Premier League","2011-2012",10000000,11300000
"Peter Crouch","Centre-Forward",30,"Spurs","Premier League","Stoke City","Premier League","2011-2012",10000000,11300000
"Charles N'Zogbia","Right Winger",25,"Wigan","Premier League","Aston Villa","Premier League","2011-2012",9000000,10800000
"Wilson Palacios","Defensive Midfield",26,"Spurs","Premier League","Stoke City","Premier League","2011-2012",14000000,9000000
"Roman Pavlyuchenko","Centre-Forward",30,"Spurs","Premier League","Loko Moscow"," Russia","2011-2012",8500000,9000000
"Connor Wickham","Centre-Forward",18,"Ipswich","Championship","Sunderland","Premier League","2011-2012",4000000,9000000
"Thibaut Courtois","Goalkeeper",19,"KRC Genk","Jupiler Pro League","Chelsea","Premier League","2011-2012",4000000,8950000
"Gary Cahill","Centre-Back",26,"Bolton","Premier League","Chelsea","Premier League","2011-2012",13000000,8400000
"Charlie Adam","Central Midfield",25,"Blackpool","Championship","Liverpool","Premier League","2011-2012",4500000,8400000
"Kevin De Bruyne","Attacking Midfield",20,"KRC Genk","Jupiler Pro League","Chelsea","Premier League","2011-2012",9000000,8000000
"José Enrique","Left-Back",25,"Newcastle","Premier League","Liverpool","Premier League","2011-2012",7500000,8000000
"Roger Johnson","Centre-Back",28,"Birmingham","Championship","Wolves","Premier League","2011-2012",5000000,8000000
"Sebastián Coates","Centre-Back",20,"Nacional","Primera División","Liverpool","Premier League","2011-2012",2500000,8000000
"Gaël Clichy","Left-Back",25,"Arsenal","Premier League","Man City","Premier League","2011-2012",15000000,7750000
"Lucas Piazón","Left Winger",18,"FC São Paulo B"," Brazil","Chelsea","Premier League","2011-2012",7500000,7500000
"André Santos","Attacking Midfield",28,"Fenerbahce","Süper Lig","Arsenal","Premier League","2011-2012",8500000,7000000
"Scott Dann","Centre-Back",24,"Birmingham","Championship","Blackburn","Premier League","2011-2012",4500000,6800000
"Diniyar Bilyaletdinov","Attacking Midfield",26,"Everton","Premier League","Spartak Moscow"," Russia","2011-2012",6500000,6700000
"Nikica Jelavic","Centre-Forward",26,"Rangers","Premiership","Everton","Premier League","2011-2012",5000000,6600000
"Craig Gardner","Central Midfield",24,"Birmingham","Championship","Sunderland","Premier League","2011-2012",4000000,6600000
"Ju-yeong Park","Centre-Forward",26,"Monaco","Ligue 2","Arsenal","Premier League","2011-2012",7000000,6500000
"Scott Parker","Central Midfield",30,"West Ham","Championship","Spurs","Premier League","2011-2012",14000000,6200000
"Borja Valero","Central Midfield",26,"West Brom","Premier League","Villarreal CF","LaLiga","2011-2012",12000000,6000000
"Nikola Kalinic","Centre-Forward",23,"Blackburn","Premier League","Dnipro","Premier Liga","2011-2012",4500000,6000000
"Bobby Zamora","Centre-Forward",31,"Fulham","Premier League","QPR","Premier League","2011-2012",8000000,5800000
"Davide Santon","Left-Back",20,"Inter","Serie A","Newcastle","Premier League","2011-2012",7500000,5650000
"Shane Long","Centre-Forward",24,"Reading","Championship","West Brom","Premier League","2011-2012",2000000,5100000
"Alex","Centre-Back",29,"Chelsea","Premier League","Paris SG","Ligue 1","2011-2012",13000000,5000000
"Yohan Cabaye","Central Midfield",25,"LOSC Lille","Ligue 1","Newcastle","Premier League","2011-2012",11000000,5000000
"Djibril Cissé","Centre-Forward",30,"Lazio","Serie A","QPR","Premier League","2011-2012",6000000,5000000
"Nemanja Matic","Defensive Midfield",22,"Chelsea","Premier League","Benfica","Liga NOS","2011-2012",3000000,5000000
"Nedum Onuoha","Centre-Back",25,"Man City","Premier League","QPR","Premier League","2011-2012",7500000,4700000
"Jean Beausejour","Left-Back",27,"Birmingham","Championship","Wigan","Premier League","2011-2012",2000000,4700000
"Oriol Romeu","Defensive Midfield",19,"FC Barcelona B","LaLiga2","Chelsea","Premier League","2011-2012",2500000,4600000
"Shaun Wright-Phillips","Right Winger",29,"Man City","Premier League","QPR","Premier League","2011-2012",8000000,4500000
"Alan Hutton","Right-Back",26,"Spurs","Premier League","Aston Villa","Premier League","2011-2012",7500000,4500000
"John O'Shea","Centre-Back",30,"Man Utd","Premier League","Sunderland","Premier League","2011-2012",6500000,4500000
"David N'Gog","Centre-Forward",22,"Liverpool","Premier League","Bolton","Premier League","2011-2012",5000000,4500000
